,SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,C[N]1N=NC(=N1)N=NC2=CC=CC=C2,3.9364814814814815,0.2605120937263794,3.9364814814814815,0.2605120937263794,0.6722753636756288,188.19400000000005,180.13,188.08104425599998,70,0,0.3072917429544847,-0.16531513108137605,0.3072917429544847,0.16531513108137605,1.1428571428571428,1.9285714285714286,2.5714285714285716,15.589335287513922,10.322593782757393,1.9497946832044804,-1.8626411275677865,2.1229917425553313,-1.905437374669756,5.3480881647877005,0.6297542511597166,2.15059080238607,432.1019709961357,9.803118619434356,7.570032918947878,7.570032918947878,6.84333659290053,4.052324389022834,4.052324389022834,2.614434597136771,2.614434597136771,1.5088772495198421,1.5088772495198421,0.9112812360557357,0.9112812360557357,-2.1099999999999994,2787.5955258983904,8.486561824978438,3.7338869416252067,1.9757420690620942,80.28365384011003,0.0,0.0,0.0,0.0,0.0,5.948339280986494,0.0,0.0,4.796506222499014,15.327182059559831,23.297783013685866,17.346119232578086,0.0,12.735058257360752,0.0,11.635725555670057,0.0,20.20725493475596,17.276172233935984,0.0,0.0,30.33183534230805,0.0,0.0,0.0,11.635725555670057,0.0,0.0,20.20725493475596,7.04767198267719,0.0,0.0,40.56033559356685,0.0,0.0,0.0,68.32,0.0,0.0,0.0,5.948339280986494,0.0,5.687386274683562,4.796506222499014,7.04767198267719,30.33183534230805,25.639248963515737,0.0,0.0,0.0,1.332685185185185,18.915998362307885,0.763845427059713,0.2605120937263794,9.3851562106324,0.0,0.0,1.6751360544217686,0.125,14,0,6,0,0,0,1,1,2,6,0,6,2,0,0,0,2,1.6254999999999997,49.416000000000025,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,C[N]1C=NC(=N1)N=NC2=CC=CC=C2,3.9764814814814815,0.37162320483749056,3.9764814814814815,0.37162320483749056,0.6766896837137845,187.20600000000005,178.134,187.08579528799999,70,0,0.2868685232000128,-0.2537454278848142,0.2868685232000128,0.2537454278848142,1.1428571428571428,1.9285714285714286,2.5714285714285716,15.374179523345223,10.322588847704727,1.9334796073316722,-1.8682454894504004,2.1269314061642324,-1.8411909646759843,5.348698375191148,0.764368300229696,2.15059080238607,431.47278051304505,9.803118619434356,7.700169592637546,7.700169592637546,6.84333659290053,4.1687221685171565,4.1687221685171565,2.75378760123338,2.75378760123338,1.5985990316830754,1.5985990316830754,0.9708540152224314,0.9708540152224314,-2.0399999999999996,2787.5955258983904,8.55346898338668,3.7798758454966186,2.0070319396307648,81.12709872235408,0.0,6.3273200747645415,0.0,0.0,5.948339280986494,0.0,4.681802935145185,0.0,4.9839785209472085,15.327182059559831,18.19910120538483,12.13273413692322,7.04767198267719,5.687386274683562,0.0,11.635725555670057,0.0,14.76446326439343,17.276172233935984,0.0,0.0,36.65915541707259,0.0,0.0,0.0,11.635725555670057,0.0,0.0,14.76446326439343,7.04767198267719,0.0,0.0,46.887655668331384,0.0,0.0,0.0,55.43,0.0,0.0,0.0,0.0,5.948339280986494,5.687386274683562,0.0,18.056794992586916,30.33183534230805,20.31116058050704,0.0,1.582685185185185,0.0,3.9222746598639455,11.826626511715798,0.7916232048374907,0.37162320483749056,9.46956821617536,1.582685185185185,0.0,1.7862471655328798,0.1111111111111111,14,0,5,0,0,0,1,1,2,5,0,5,2,0,0,0,2,2.2305,51.62100000000003,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,C[N]1C=CC(=N1)N=NC2=CC=CC=C2,4.081996882086168,0.6216232048374906,4.081996882086168,0.6216232048374906,0.6647335628342163,186.21800000000005,176.13799999999998,186.09054632,70,0,0.19520292488885474,-0.2735752404321145,0.2735752404321145,0.19520292488885474,1.0714285714285714,1.8571428571428572,2.5,15.305112820321304,10.322301915780512,1.9166641847738082,-1.8774012298974787,2.1434606347345873,-1.8404969199345622,5.356375443550635,0.7661798437977106,2.15059080238607,430.39246505158906,9.803118619434356,7.830306266327214,7.830306266327214,6.84333659290053,4.308924948948162,4.308924948948162,2.883154857435688,2.883154857435688,1.7236561167933957,1.7236561167933957,1.0597691991172327,1.0597691991172327,-1.9699999999999993,2787.5955258983904,8.620407990533684,3.8260274587107355,2.0385179270535043,81.90745074140756,0.0,0.0,5.817862777835028,0.0,0.0,0.0,4.681802935145185,0.0,5.098681808301038,10.228500251258795,18.19910120538483,12.13273413692322,19.310882622751876,5.687386274683562,0.0,11.50524905251859,0.0,9.780484743446223,17.276172233935984,0.0,0.0,42.595045982382736,0.0,0.0,0.0,11.50524905251859,0.0,0.0,9.780484743446223,7.04767198267719,0.0,0.0,52.82354623364153,0.0,0.0,0.0,42.54,0.0,0.0,0.0,0.0,5.817862777835028,5.687386274683562,0.0,4.681802935145185,49.64271796505992,15.327182059559831,0.0,1.6937962962962962,0.0,0.0,12.11134873393802,0.8316232048374907,0.6216232048374906,11.393509542705972,1.832685185185185,0.0,1.8487471655328798,0.1,14,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,2.8355000000000006,53.82600000000003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,4.181533919123204,0.667919501133787,4.181533919123204,0.667919501133787,0.686453658688664,200.24500000000003,188.14899999999997,200.106196384,76,0,0.19809576984197116,-0.2732969645444349,0.2732969645444349,0.19809576984197116,1.1333333333333333,1.8666666666666667,2.466666666666667,15.309446604195744,10.320596325008545,1.9978511604561897,-1.8903794857795526,2.1835535782104847,-1.8413354087269922,5.38299686186984,0.7658270315498011,2.2215930981414393,470.5880732176564,10.673362107437434,8.752955997137589,8.752955997137589,7.2540201954234895,4.725591615614829,4.725591615614829,3.344937047037653,3.344937047037653,2.002031281765312,2.002031281765312,1.2937545146011649,1.2937545146011649,-1.9699999999999993,3859.531530864694,9.5798857198885,4.041467359803878,2.2818107269699954,88.27239285580417,0.0,0.0,5.817862777835028,0.0,0.0,0.0,4.681802935145185,0.0,5.098681808301038,10.228500251258795,18.19910120538483,19.056471336613843,18.80796704598726,5.687386274683562,0.0,11.50524905251859,0.0,9.780484743446223,17.276172233935984,6.923737199690624,0.0,42.09213040561812,0.0,0.0,0.0,11.50524905251859,0.0,0.0,9.780484743446223,7.04767198267719,6.923737199690624,5.563451491696996,46.75717916517992,0.0,0.0,0.0,42.54,0.0,0.0,0.0,0.0,5.817862777835028,11.250837766380558,0.0,4.681802935145185,50.50008809628894,15.327182059559831,0.0,1.7308333333333334,0.0,0.0,12.371256141345427,1.8608649848828422,0.667919501133787,9.618897392290249,1.9160185185185186,1.9646296296296295,1.8695804988662132,0.18181818181818182,15,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,3.1439200000000014,58.56300000000004,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,C[N]1C=C(C=N1)N=NC2=CC=CC=C2,4.061481481481481,0.7605120937263796,4.061481481481481,0.7605120937263796,0.6647335628342163,186.21800000000005,176.13799999999998,186.09054632,70,0,0.12354337601245012,-0.2735051716293061,0.2735051716293061,0.12354337601245012,1.0714285714285714,1.7857142857142858,2.4285714285714284,15.26131568647298,10.321995161951639,1.9131144165727416,-1.8756075395811496,2.154925085002134,-1.8306342963630968,5.367234228312455,0.7675144533210931,2.1505908023860694,430.3924650515891,9.803118619434356,7.830306266327214,7.830306266327214,6.84333659290053,4.298858842206824,4.298858842206824,2.9077526025207883,2.9077526025207883,1.7283811794118187,1.7283811794118187,1.0700827004281646,1.0700827004281646,-1.9699999999999993,2787.5955258983904,8.620407990533684,3.8260274587107355,2.0385179270535043,81.90745074140756,0.0,5.687386274683562,0.0,0.0,0.0,0.0,4.681802935145185,0.0,10.212931933930435,5.114250125629398,18.19910120538483,12.13273413692322,7.04767198267719,18.081073417909714,0.0,11.374772549367124,0.0,9.780484743446223,17.276172233935984,0.0,0.0,42.7255224855342,0.0,0.0,0.0,11.374772549367124,0.0,0.0,9.780484743446223,7.04767198267719,0.0,0.0,52.95402273679299,0.0,0.0,0.0,42.54,0.0,0.0,0.0,0.0,0.0,11.374772549367124,0.0,10.878646506758262,43.57635089659831,15.327182059559831,0.0,1.6937962962962962,0.0,0.0,12.092282375913328,1.6043575207860925,0.0,9.609149974804737,3.485,0.0,1.8487471655328798,0.1,14,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,2.8355000000000006,53.82600000000003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,4.285800894431847,0.8519935752078611,4.285800894431847,0.8519935752078611,0.7057811799701049,214.27200000000002,200.15999999999997,214.12184644799999,82,0,0.1293731347585486,-0.2703584008210472,0.2703584008210472,0.1293731347585486,1.0625,1.75,2.3125,15.288018814598397,10.305627736180874,2.0711058297431224,-1.933552206656275,2.2404275870282935,-1.913269716852729,5.462516499417506,0.7310118601094652,2.308082876820747,511.3150723161505,11.543605595440512,9.675605727947962,9.675605727947962,7.6815405503520555,5.152324389022834,5.152324389022834,3.6785831476866826,3.6785831476866826,2.492484047269821,2.492484047269821,1.5095436152682287,1.5095436152682287,-1.9699999999999993,5709.191060776278,10.544561916309322,4.263802943013955,2.003201149871295,94.63733497020078,0.0,5.687386274683562,0.0,0.0,0.0,0.0,4.681802935145185,0.0,10.212931933930435,5.114250125629398,18.19910120538483,25.980208536304467,7.04767198267719,17.075242264380485,0.0,11.374772549367124,0.0,9.780484743446223,17.276172233935984,13.847474399381248,0.0,41.71969133200497,0.0,0.0,0.0,11.374772549367124,0.0,0.0,9.780484743446223,7.04767198267719,13.847474399381248,11.387855989696922,40.56033559356685,0.0,0.0,0.0,42.54,0.0,0.0,0.0,0.0,0.0,22.762628539064046,0.0,0.0,55.908784659511674,15.327182059559831,0.0,1.8141666666666667,0.0,0.0,12.707004598135551,3.6327484882842027,0.0,9.683814562862182,0.0,3.922314814814815,1.9066175359032502,0.25,16,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,3.452340000000002,63.30000000000004,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,C[N]1N=CC=C1N=NC2=CC=CC=C2,4.073703703703703,0.7443083900226759,4.073703703703703,0.7443083900226759,0.6647335628342163,186.21800000000005,176.13799999999998,186.09054632,70,0,0.1722376844826545,-0.24948407938775685,0.24948407938775685,0.1722376844826545,1.0714285714285714,1.8571428571428572,2.5,15.322346434161826,10.322256822899071,1.9328741806414056,-1.9198687420878755,2.153740655077255,-1.862655336783092,5.358251283243806,0.7639650751233831,2.195491813071042,430.39246505158906,9.803118619434356,7.830306266327214,7.830306266327214,6.860173345306137,4.308924948948162,4.308924948948162,2.8485627654385057,2.8485627654385057,1.8191544170049152,1.8191544170049152,1.0687008388649366,1.0687008388649366,-1.9699999999999993,2858.521297351803,8.620407990533684,3.8260274587107355,1.8492596270662867,81.90745074140754,0.0,0.0,5.817862777835028,0.0,0.0,0.0,0.0,4.681802935145185,5.098681808301038,10.228500251258795,18.19910120538483,12.13273413692322,13.1140390511388,11.884229846296638,0.0,11.50524905251859,0.0,9.780484743446223,17.276172233935984,0.0,0.0,42.595045982382736,0.0,0.0,0.0,11.50524905251859,0.0,0.0,9.780484743446223,7.04767198267719,0.0,0.0,52.82354623364153,0.0,0.0,0.0,42.54,0.0,0.0,0.0,0.0,0.0,11.50524905251859,0.0,10.878646506758262,43.44587439344685,15.327182059559831,0.0,1.6730555555555555,0.0,0.0,12.12700459813555,0.8413888888888892,0.7443083900226759,11.421094419249181,1.6937962962962962,0.0,1.832685185185185,0.1,14,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,2.8355000000000006,53.82600000000003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,4.161018518518518,0.7906046863189722,4.161018518518518,0.7906046863189722,0.686453658688664,200.24500000000003,188.14899999999997,200.106196384,76,0,0.175189925861859,-0.24925045845489274,0.24925045845489274,0.175189925861859,1.1333333333333333,1.8666666666666667,2.466666666666667,15.326509359835397,10.320356478731535,2.0100598775089042,-1.9427565033391552,2.1958870160839195,-1.8699992895464013,5.388678999901586,0.7634919988201354,2.2611677608992613,451.0880732176565,10.673362107437434,8.752955997137589,8.752955997137589,7.270856947829096,4.725591615614829,4.725591615614829,3.310344955040471,3.310344955040471,2.1002052896046464,2.1002052896046464,1.2841934955215362,1.2841934955215362,-1.9699999999999993,4030.538429176839,9.5798857198885,4.041467359803878,2.095848816736051,88.27239285580416,0.0,0.0,5.817862777835028,0.0,0.0,0.0,0.0,4.681802935145185,5.098681808301038,10.228500251258795,18.19910120538483,19.056471336613846,12.611123474374185,11.884229846296638,0.0,11.50524905251859,0.0,9.780484743446223,17.276172233935984,6.923737199690624,0.0,42.09213040561812,0.0,0.0,0.0,11.50524905251859,0.0,0.0,9.780484743446223,7.04767198267719,6.923737199690624,5.563451491696996,46.75717916517992,0.0,0.0,0.0,42.54,0.0,0.0,0.0,0.0,0.0,17.068700544215584,0.0,10.878646506758262,44.30324452467586,15.327182059559831,0.0,1.7100925925925925,0.0,0.0,12.386912005542957,1.8706306689342405,0.7906046863189722,9.64648226883346,1.7771296296296295,1.9646296296296295,1.8535185185185186,0.18181818181818182,15,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,3.1439200000000014,58.56300000000003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,4.261851851851851,0.8781538170823886,4.261851851851851,0.8781538170823886,0.6733284582995036,213.284,198.16399999999996,213.12659748,82,0,0.10651178733291924,-0.3501197125286225,0.3501197125286225,0.10651178733291924,1.0,1.6875,2.25,15.124415405914991,10.319476049082331,2.0367383095653246,-1.9745359724423228,2.239079685076617,-1.911447619511395,5.456712377232969,0.8431902179180953,2.27660539840396,509.47401848680676,11.543605595440512,9.805742401637632,9.805742401637632,7.6815405503520555,5.27967465821246,5.27967465821246,3.8509357054984594,3.8509357054984594,2.7778698242405153,2.7778698242405153,1.5429748794582219,1.5429748794582219,-1.8999999999999995,5878.100731767417,10.612258234287971,4.30801419554817,2.029984613499272,95.44923342084955,4.567099647791355,5.687386274683562,0.0,0.0,0.0,0.0,0.0,0.0,5.114250125629398,5.114250125629398,18.19910120538483,32.046575604766076,18.43552797237411,5.687386274683562,0.0,11.374772549367124,0.0,4.567099647791355,17.276172233935984,13.847474399381248,0.0,47.78605840046658,0.0,0.0,0.0,11.374772549367124,0.0,0.0,4.567099647791355,7.04767198267719,13.847474399381248,11.387855989696922,46.62670266202846,0.0,0.0,0.0,29.65,0.0,0.0,0.0,0.0,0.0,17.068700544215584,5.693927994848461,0.0,50.36961159313747,21.719337098740773,0.0,2.1104629629629628,0.0,0.0,8.465277777777779,4.142548133450911,0.0,11.80245753548333,0.0,4.111987906273621,2.033932350718065,0.23076923076923078,16,0,3,0,0,0,1,1,2,3,0,3,2,0,0,0,2,4.057340000000003,65.50500000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,4.3613888888888885,0.8822278911564627,4.3613888888888885,0.8822278911564627,0.6819824014983892,227.311,210.17499999999995,227.14224754399999,88,0,0.10942222367021696,-0.3498436786567865,0.3498436786567865,0.10942222367021696,0.8823529411764706,1.5294117647058822,2.0588235294117645,15.12833664937953,10.221133987536122,2.1056151804057053,-1.97477627890543,2.294336465552459,-1.9203236379414532,5.533933306604693,0.8398308227469148,2.373908302300202,525.0914536229403,12.41384908344359,10.728392132448006,10.728392132448006,8.109060905280622,5.702324389022833,5.702324389022833,4.238993344311651,4.238993344311651,3.2685095388322427,3.2685095388322427,1.8544294200369298,1.8544294200369298,-1.8999999999999995,8755.648162495558,11.58146290652367,4.534587057963683,2.1343668903340545,101.81417553524616,4.567099647791355,5.687386274683562,0.0,0.0,0.0,0.0,0.0,0.0,5.114250125629398,5.114250125629398,18.19910120538483,38.46739722769209,18.43552797237411,5.687386274683562,0.0,11.374772549367124,0.0,4.567099647791355,17.276172233935984,20.771211599071872,0.0,47.283142823701965,0.0,0.0,0.0,11.374772549367124,0.0,0.0,4.567099647791355,7.04767198267719,20.771211599071872,16.95130748139392,40.56033559356685,0.0,0.0,0.0,29.65,0.0,0.0,0.0,0.0,0.0,17.068700544215584,11.257379486545457,0.0,30.33183534230805,42.61448348079921,0.0,2.1475,0.0,0.0,8.625648148148148,5.454197320903671,0.0,9.796363903586125,0.0,6.254858276643991,2.0547656840513984,0.2857142857142857,17,0,3,0,0,0,1,1,2,3,0,3,2,0,0,0,2,4.365760000000003,70.24200000000003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
